order_id,region,product,sales_amount,units_sold,customer_rating,quarter
1152,North,Widget B,565,14,4.3,Q3
1153,West,Widget B,49,1,4.9,Q4
1154,North,Widget B,447,11,,Q3
1155,North,Widget C,425,11,4.7,Q1
1156,West,Widget B,100,3,3.2,Q1
1157,North,Widget B,434,12,4.7,Q3
1158,West,Widget B,156,4,4.7,Q4
1159,West,Widget A,231,7,4.4,Q2
1160,North,Widget A,450,12,3.8,Q1
1161,South,Widget C,266,7,3.8,Q2
1162,West,Widget A,232,7,3.0,Q2
1163,South,Widget A,163,6,4.3,Q2
1164,West,Widget A,119,3,3.5,Q2
1165,South,Widget B,340,14,2.7,Q4
1166,East,Widget B,515,14,4.9,Q3
1167,East,Widget B,440,19,3.2,Q3
1168,West,Widget C,153,5,3.3,Q2
1169,South,Widget A,309,11,3.5,Q1
1170,East,Widget B,386,17,,Q3
1171,South,Widget B,293,9,2.7,Q3
1172,North,Widget A,553,18,4.9,Q3
1173,West,Widget C,280,7,4.2,Q2
1174,West,Widget A,221,6,4.2,Q4
1175,South,Widget C,358,8,3.7,Q3
1176,South,Widget C,213,5,4.9,Q2
1177,East,Widget B,534,25,3.8,Q3
1178,North,Widget B,387,17,4.2,Q4
1179,South,Widget C,340,12,4.5,Q4
1180,North,Widget B,582,15,3.1,Q3
1181,East,Widget B,331,8,,Q1
1182,North,Widget B,458,15,4.7,Q3
1183,North,Widget B,612,28,3.8,Q1
1184,South,Widget A,275,10,3.1,Q1
1185,West,Widget A,135,3,,Q3
1186,North,Widget A,414,10,2.7,Q2
1187,East,Widget C,504,12,4.0,Q1
1188,East,Widget C,1623,65,2.8,Q3
1189,South,Widget A,273,11,4.4,Q2
1190,North,Widget A,400,13,3.8,Q3
1191,South,Widget C,345,9,2.9,Q4
1192,East,Widget B,560,27,4.7,Q3
1193,North,Widget C,554,21,2.6,Q2
1194,West,Widget B,243,7,3.5,Q3
1195,South,Widget C,386,11,2.7,Q4
1196,West,Widget A,272,8,3.9,Q1
1197,North,Widget A,502,13,4.1,Q1
1198,East,Widget C,412,16,2.8,Q3
1199,South,Widget C,223,5,3.7,Q3
